movie_id,movie_title,title_year,country,color,genres,imdb_score,plot_keywords,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,facenumber_in_poster,movie_imdb_link,non_relevant_posters(ratings),non_relevant_posters(genres),,
0,Intolerance: Love's Struggle Throughout the Ages,1916,USA,0,Drama|History|War,8,huguenot|intolerance|medicis|protestant|wedding,10718,88,69,Not Rated,1,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,,,,          
1,Over the Hill to the Poorhouse,1920,USA,0,Crime|Drama,4.8,family relationships|gang|idler|poorhouse|thief,5,1,1,NULL,1,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,,,,          
2,The Big Parade,1925,USA,0,Drama|Romance|War,8.3,chewing gum|climbing a tree|france|translation problems|world war one,4849,45,48,Not Rated,0,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,,,,          
3,Metropolis,1927,UK,0,Drama|Sci-Fi,8.3,art deco|bible quote|dance|silent film|worker,111841,413,260,Not Rated,1,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,,,,          
4,Pandora's Box,1929,UK,0,Crime|Drama|Romance,8,escape|femme fatale|german expressionism|lust|violence,7431,84,71,Not Rated,1,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,,,,          
5,The Broadway Melody,1929,USA,0,Musical|Romance,6.3,sibling rivalry|singer|sister act|whistling|wisecrack humor,4546,71,36,Passed,8,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,,,,          
6,Hell's Angels,1930,USA,0,Drama|War,7.8,bomb|bombing mission|munitions|oxford|royal flying corps,3753,53,35,Passed,1,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,,,,          
7,A Farewell to Arms,1932,USA,0,Drama|Romance|War,6.6,1910s|ambulance driver|italy|lake|nurse,3519,46,42,Unrated,1,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,,,,          
8,42nd Street,1933,USA,0,Comedy|Musical|Romance,7.7,chorus girl|chorus line|director|gala premiere|song,7921,97,65,Unrated,2,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,,,,          
9,She Done Him Wrong,1933,USA,0,Comedy|Drama|History|Musical|Romance,6.5,captain|marriage proposal|saloon|saloon singer|singer,4152,59,35,Approved,1,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,,,,          
10,It Happened One Night,1934,USA,0,Comedy|Romance,8.2,bus|detective|love|money|reporter,64888,235,124,Unrated,1,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,,,,          
