movie_id,movie_title,title_year,language,country,color,genres,imdb_score,plot_keywords,director_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,facenumber_in_poster,movie_imdb_link,,,,
,Intolerance: Love's Struggle Throughout the Ages,1916,English,USA, Black and White,Drama|History|War,8,huguenot|intolerance|medicis|protestant|wedding,D.W. Griffith,10718,88,69,Not Rated,1,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,,,,          
,Over the Hill to the Poorhouse,1920,English,USA, Black and White,Crime|Drama,4.8,family relationships|gang|idler|poorhouse|thief,Harry F. Millarde,5,1,1,,1,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,,,,          
,The Big Parade,1925,English,USA, Black and White,Drama|Romance|War,8.3,chewing gum|climbing a tree|france|translation problems|world war one,King Vidor,4849,45,48,Not Rated,0,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,,,,          
,Metropolis,1927,German,Germany, Black and White,Drama|Sci-Fi,8.3,art deco|bible quote|dance|silent film|worker,Fritz Lang,111841,413,260,Not Rated,1,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,,,,          
,Pandora's Box,1929,German,Germany, Black and White,Crime|Drama|Romance,8,escape|femme fatale|german expressionism|lust|violence,Georg Wilhelm Pabst,7431,84,71,Not Rated,1,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,,,,          
,The Broadway Melody,1929,English,USA, Black and White,Musical|Romance,6.3,sibling rivalry|singer|sister act|whistling|wisecrack humor,Harry Beaumont,4546,71,36,Passed,8,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,,,,          
,Hell's Angels,1930,English,USA, Black and White,Drama|War,7.8,bomb|bombing mission|munitions|oxford|royal flying corps,Howard Hughes,3753,53,35,Passed,1,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,,,,          
,A Farewell to Arms,1932,English,USA, Black and White,Drama|Romance|War,6.6,1910s|ambulance driver|italy|lake|nurse,Frank Borzage,3519,46,42,Unrated,1,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,,,,          
,42nd Street,1933,English,USA, Black and White,Comedy|Musical|Romance,7.7,chorus girl|chorus line|director|gala premiere|song,Lloyd Bacon,7921,97,65,Unrated,2,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,,,,          
,She Done Him Wrong,1933,English,USA, Black and White,Comedy|Drama|History|Musical|Romance,6.5,captain|marriage proposal|saloon|saloon singer|singer,Lowell Sherman,4152,59,35,Approved,1,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,,,,          
,It Happened One Night,1934,English,USA, Black and White,Comedy|Romance,8.2,bus|detective|love|money|reporter,Frank Capra,64888,235,124,Unrated,1,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,,,,          
,Top Hat,1935,English,USA, Black and White,Comedy|Musical|Romance,7.8,dance|dancer|dancing|horse|tap dancing,Mark Sandrich,13269,98,66,Approved,2,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,,,,          
,Modern Times,1936,English,USA, Black and White,Comedy|Drama|Family,8.6,actor director writer|invention|machine|music score composed by director|tramp,Charles Chaplin,143086,211,120,G,1,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,,,,          
,The Charge of the Light Brigade,1936,English,USA, Black and White,Action|Adventure|Romance|War,7.1,attack|fort|india|lancer|massacre,Michael Curtiz,3418,52,24,Approved,3,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,,,,          
,The Prisoner of Zenda,1937,English,USA, Black and White,Adventure|Drama|Romance,7.8,coronation|fictitious country|king|princess|swashbuckler,John Cromwell,3256,44,7,Approved,2,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,,,,          
,Snow White and the Seven Dwarfs,1937,English,USA,Color,Animation|Family|Fantasy|Musical,7.7,dwarf|love|princess|queen|snow white,William Cottrell,133348,204,145,Approved,1,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,,,,          
,Alexander's Ragtime Band,1938,English,USA, Black and White,Drama|Musical|Romance,7,band|dance|ragtime|singer|violinist,Henry King,1381,29,10,Approved,2,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,,,,          
,You Can't Take It with You,1938,English,USA, Black and White,Comedy|Drama|Romance,8,eccentric|friend|house|monopoly|stenographer,Frank Capra,17799,133,51,Approved,10,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,,,,          
,Gone with the Wind,1939,English,USA,Color,Drama|History|Romance|War,8.2,battle of the sexes|gallantry|honesty|indifference|scandal,Victor Fleming,215340,706,157,G,1,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,,,,          
,The Wizard of Oz,1939,English,USA, Black and White,Adventure|Family|Fantasy|Musical,8.1,evil witch|tornado|witch|wizard|wizard of oz,Victor Fleming,291875,533,213,Passed,3,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,,,,          
,Mr. Smith Goes to Washington,1939,English,USA, Black and White,Comedy|Drama,8.2,camp|corruption|governor|senate|u.s. senate,Frank Capra,77392,245,96,Not Rated,7,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,,,,          
,Pinocchio,1940,English,USA,Color,Animation|Family|Fantasy|Musical,7.5,boy|conscience|fairy|jiminy cricket|pinocchio,Norman Ferguson,90360,147,105,Approved,0,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,,,,          
,Fantasia,1940,English,USA,Color,Animation|Family|Fantasy|Music,7.8,apprentice|classical music|disney|mouse|orchestra,James Algar,71321,230,99,G,0,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,,,,          
,Boom Town,1940,English,USA, Black and White,Adventure|Drama|Romance|Western,7.1,oil|oil field|oil tycoon|partnership|wildcatter,Jack Conway,2269,34,12,Passed,8,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,,,,          
