movie_title,title_year,language,country,duration,color,genres,imdb_score,plot_keywords,director_name,Actors_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,aspect_ratio,budget,gross,profit,facenumber_in_poster,movie_imdb_link,,,,
Intolerance: Love's Struggle Throughout the Ages,1916,English,USA,123, Black and White,Drama|History|War,8,huguenot|intolerance|medicis|protestant|wedding,D.W. Griffith,Lillian Gish |  Mae Marsh |  Walter Long,10718,88,69,Not Rated,1.33,385907,,-385907,1,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,,,,          
Over the Hill to the Poorhouse,1920,English,USA,110, Black and White,Crime|Drama,4.8,family relationships|gang|idler|poorhouse|thief,Harry F. Millarde,Stephen Carr |  Johnnie Walker |  Mary Carr,5,1,1,,1.33,100000,3000000,2900000,1,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,,,,          
The Big Parade,1925,English,USA,151, Black and White,Drama|Romance|War,8.3,chewing gum|climbing a tree|france|translation problems|world war one,King Vidor,John Gilbert |  Renée Adorée |  Claire Adams,4849,45,48,Not Rated,1.33,245000,,-245000,0,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,,,,          
Metropolis,1927,German,Germany,145, Black and White,Drama|Sci-Fi,8.3,art deco|bible quote|dance|silent film|worker,Fritz Lang,Brigitte Helm |  Gustav Fröhlich |  Rudolf Klein-Rogge,111841,413,260,Not Rated,1.33,6000000,26435,-5973565,1,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,,,,          
Pandora's Box,1929,German,Germany,110, Black and White,Crime|Drama|Romance,8,escape|femme fatale|german expressionism|lust|violence,Georg Wilhelm Pabst,Louise Brooks |  Francis Lederer |  Fritz Kortner,7431,84,71,Not Rated,1.33,,9950,9950,1,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,,,,          
The Broadway Melody,1929,English,USA,100, Black and White,Musical|Romance,6.3,sibling rivalry|singer|sister act|whistling|wisecrack humor,Harry Beaumont,Anita Page |  Bessie Love |  Charles King,4546,71,36,Passed,1.37,379000,2808000,2429000,8,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,,,,          
Hell's Angels,1930,English,USA,96, Black and White,Drama|War,7.8,bomb|bombing mission|munitions|oxford|royal flying corps,Howard Hughes,Jean Harlow |  Marian Marsh |  James Hall,3753,53,35,Passed,1.2,3950000,,-3950000,1,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,,,,          
A Farewell to Arms,1932,English,USA,79, Black and White,Drama|Romance|War,6.6,1910s|ambulance driver|italy|lake|nurse,Frank Borzage,Gary Cooper |  Helen Hayes |  Adolphe Menjou,3519,46,42,Unrated,1.37,800000,,-800000,1,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,,,,          
42nd Street,1933,English,USA,89, Black and White,Comedy|Musical|Romance,7.7,chorus girl|chorus line|director|gala premiere|song,Lloyd Bacon,Ginger Rogers |  Dick Powell |  George Brent,7921,97,65,Unrated,1.37,439000,2300000,1861000,2,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,,,,          
She Done Him Wrong,1933,English,USA,66, Black and White,Comedy|Drama|History|Musical|Romance,6.5,captain|marriage proposal|saloon|saloon singer|singer,Lowell Sherman,Mae West |  Gilbert Roland |  Louise Beavers,4152,59,35,Approved,1.37,200000,,-200000,1,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,,,,          
