,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
intolerance,-0.003704852,8.40E-05,-0.0040932,-0.000697406,0.000341017,-0.002840723,-0.004756617,0.001212084,-0.002124125,0.002131981,-0.002170434,0.003900745,-0.001288308,0.000938863,0.002494638,0.003813506,0.00095018,0.002914182,-0.00490069,0.002048945,-0.004150185,0.001972994,-0.001047751,-0.004508188,0.002226388,0.003356907,0.002271963,-0.001392961,-0.003615042,-0.00424712,-0.000568622,-0.002486195,-0.001171608,0.001510343,0.001263807,0.003831791,-0.001529999,0.00243393,0.000543859,-0.004279,-0.00085888,-0.003257046,-0.003384591,-0.001262018,-0.002209825,-0.004347231,-0.001560262,0.002324347,0.003652833,0.002478429,-0.004032983,-0.003134513,0.002400732,-0.000688668,0.000488542,0.004423344,-0.000847712,-0.002722734,0.001191154,-0.001598095,0.000662099,0.003546649,-0.002285565,-0.00372052,-0.002899994,-0.00413096,0.000971767,0.000351764,0.001477561,0.003729141,0.000341798,-0.000591665,0.001927421,-0.001109869,-0.003007005,0.004374982,-0.000777587,-0.000270184,-0.003919223,0.002893794,0.001458652,0.001168505,-0.004037369,-0.00121701,-0.003204996,-0.004648024,0.000717082,-0.003845783,-0.001643868,-0.003440345,0.004751359,-0.003295215,0.003130483,0.004177653,0.000871553,0.001817907,-0.000443101,-0.004458334,-0.004532978,0.001017546
love,-0.001383719,0.004944714,-0.001434666,0.004974513,-0.001418672,-0.001886479,-0.004893383,0.000536852,0.000213606,0.000195039,-0.004934019,-0.004487506,0.0011038,-0.001044207,-0.003664336,-0.001885574,-0.00215095,0.001831876,-0.00304253,-0.001091442,0.003628361,0.003795793,0.001239288,-0.002244545,0.003884531,0.00294783,0.001547115,-0.000648605,-0.000283374,-0.000703447,-0.000224411,0.001174411,0.003669214,0.003433495,0.001368291,-0.001239158,-0.004003025,0.002248265,0.000208024,-0.002332029,-0.004683863,0.003698021,0.002971185,-0.00201656,0.003517629,-0.002416512,0.003671511,-0.003519689,-0.00192,0.00102773,-0.003420746,-0.002133892,-0.004156254,0.000342859,0.002467721,0.002798204,0.003543718,-0.000483743,-0.002860278,0.002130935,0.001798617,-0.001730946,0.00015649,0.00481919,-0.004869362,-0.000412222,0.000725459,0.001818232,-0.000562117,-0.001458518,0.003995895,0.004780593,-0.00320616,0.00010755,-0.004763735,-0.004980924,-0.001720077,0.00114734,0.00200687,0.003580207,-0.001993132,-0.000890341,0.002783853,0.000843551,0.00131359,0.004692799,0.001717471,-0.001178836,0.003594081,-0.003102581,0.000719733,0.001482141,0.000695332,0.001372682,0.002852375,0.001326065,-0.003785354,0.002166132,0.0007301,0.003451352
struggle,-0.001570683,-0.003057109,-0.00144616,1.81E-05,-0.002250546,-0.003715281,-0.004766503,-0.004399974,-0.001217653,0.003963979,0.000414708,-0.004991184,0.00250293,-0.000760866,0.003025858,0.002255181,-0.002545649,0.003831663,-0.003270624,0.003755063,0.004549202,-0.004274034,-0.002319121,-0.001257245,-0.001899786,-0.000912022,0.002941443,0.003482703,0.000247547,-0.000859691,0.004495018,-0.002018188,-0.004470103,-0.00410853,0.002688884,-0.001956786,0.000794109,-0.004634266,0.003872914,-0.004316033,0.000461328,-0.001002235,0.00119468,-0.003917761,0.001324796,0.003797349,0.004078475,-0.004501291,-0.001766852,0.002786253,0.001249132,-0.001476685,-0.001167825,-0.000831081,-0.003692408,0.001618937,0.00291291,-0.004600271,0.002088132,0.004137317,-0.003704775,0.001408102,0.003014571,-0.0046682,0.002451262,-0.002192657,-0.002387093,0.000283451,-0.002254565,0.00438871,0.001999525,-0.002033274,0.002482013,0.003851282,-0.000105829,0.003657686,-0.003645132,-0.003675154,-0.000100642,0.000481766,-0.001397459,0.002610953,0.003324114,-0.002967366,-0.004736001,0.002585574,0.003012338,0.00462942,7.96E-05,-0.001532307,0.004913193,0.003313537,0.000361216,0.002351147,0.003254472,0.002323933,-0.002366426,-0.004936806,0.003603705,0.002014374
throughout,0.00243293,-0.00400736,-0.001178484,0.000354619,-0.003695993,-0.003321703,0.00448032,0.00178956,0.001373569,-0.003983784,0.004635924,0.001184825,-0.00092774,-2.34E-05,0.003359919,-0.000959501,0.002619066,-0.003563868,-0.002721203,-0.004246855,0.001041689,-0.004144316,-0.003337844,-0.004094462,-0.003774317,0.002457248,-0.004294954,-0.004052172,-0.004337942,-0.003417114,-0.002922637,-0.003110691,0.000165946,-0.000815053,0.000720792,-0.000577075,0.002639632,0.000810322,0.00344543,-0.003305208,-0.00287601,1.22E-05,3.18E-05,0.00175233,0.000323656,0.001279291,0.00401143,-0.002397877,0.004018995,0.001692658,0.002744983,8.02E-05,0.004486914,-0.00393447,-0.004802611,-0.003115303,-0.004082881,-0.002391411,0.003372727,-0.002686314,0.003371169,-0.000560503,-0.003957012,-0.001359948,-0.00124056,-0.001282901,0.000459215,-0.002114389,-0.004443188,-0.001610844,0.004403083,-0.003780715,-0.003083854,0.004674872,-0.004521313,0.002850216,-0.000976985,0.004084969,0.000997764,-0.003385436,-0.004154794,0.00115943,0.004557801,0.001277896,0.004100001,0.000145663,-0.003500276,-0.001902564,0.00200501,-0.003566759,-0.004038708,0.000703995,-0.001527402,0.00222367,0.000220529,0.003340116,-0.001565976,-0.000378104,0.000877858,-0.000472856
the,-0.000520627,0.002466786,0.002198709,-0.004548091,-0.004212905,-0.001983976,0.004251455,-0.004358165,-0.001501335,0.003524107,0.002328004,0.002223587,-0.002396847,-0.003958695,-0.002573741,-0.000288617,-0.000250729,-0.000514314,-0.001531813,0.004824513,-0.000825493,0.004805759,-0.001112343,-0.003332964,0.004853839,0.002637224,0.002029614,-0.003675554,-0.000458186,-0.001962752,0.000103749,0.003763344,0.000296273,0.001910861,-0.003622996,0.001831573,-0.001407688,-0.003630686,-0.002991754,-0.002096299,0.004043501,0.00420004,-0.001166958,-0.004023832,0.002985133,0.000566087,-0.002968463,-0.003364041,0.003357258,0.002095021,0.004352877,-0.003693624,-0.000777444,0.000776043,0.001328026,0.000368261,-0.003886628,0.000106003,-0.001112158,-0.001078957,0.000145739,0.00416436,0.000275677,-0.002187657,0.002107497,0.000481103,0.003954872,-0.001748731,0.004927506,-0.002245397,0.002138279,-0.000941873,-7.62E-05,-0.003372816,0.002867423,0.002567023,8.03E-05,0.003451641,-0.001184716,-0.002585704,0.002756883,0.00119718,0.000428687,0.002933065,0.001237482,-0.004376208,0.004451221,0.000109105,-0.001210489,-0.004462909,0.002527111,0.003750006,-0.000222405,0.00126096,-0.001692413,-0.004222321,0.003677042,-0.003387278,-0.003950728,0.002688467
ages,0.001426138,-0.004226708,0.003954646,0.004842812,0.002925199,-0.001471742,0.001619084,0.002026844,-0.001959728,-0.004883557,-0.002409831,0.000612067,0.00385104,-0.003612671,-0.002875194,-0.000574893,0.003912702,0.002179093,-0.000130539,0.001430159,0.00066243,-0.000558864,0.004957056,-0.000885899,-0.004015653,-0.001686468,0.000806686,0.004876291,0.001596529,0.003143419,-0.001670885,-0.001835499,-0.003045101,-0.001250253,0.00131755,-0.0040133,-0.000321003,-0.004595852,-0.000563181,-0.002641452,0.002567391,-0.004939674,0.001719272,0.000348396,-0.002986706,-0.00396647,0.001252017,0.003013836,0.00152347,-2.46E-05,-0.001688593,0.002819513,0.00156603,-0.004101923,-0.000239374,0.004021201,-3.04E-05,0.000355543,-0.002740616,-0.004287768,0.002177914,0.003648704,0.003403117,-0.00024588,0.002662182,0.003794453,0.004105386,-0.000851324,0.003755445,-0.003975514,-0.000485389,-0.004858438,0.000983068,-0.001903247,0.00166998,-0.003854542,-0.004118945,-0.001802674,0.003866858,-0.003400714,-0.001936976,-0.003350542,0.00154518,0.001214844,0.004034449,0.004083158,0.004989809,-0.003503891,0.001226956,0.002485144,-0.003861532,-0.003073508,4.10E-05,0.000941289,-0.002597466,0.003842656,0.001634337,-0.001506965,-0.001129078,0.000702407
over,0.003732887,0.004596484,0.003393161,0.001639819,0.00417363,0.004636944,-0.002948193,-0.002303783,-0.004415276,0.004012916,0.002849143,0.000441215,-0.000314967,-0.000945236,-0.001315635,-0.004736661,0.001797696,0.003214613,0.002218642,-0.004900625,0.001118413,-0.003873438,0.003538185,0.002268812,0.003413485,-0.001322507,0.003792988,0.002560069,-0.001145214,4.06E-05,-0.000161636,-6.48E-05,-0.002217468,-0.003574167,0.004738175,0.004543135,-0.002994216,0.000455794,-0.000804875,-0.002610428,-0.000377592,-0.00025753,0.00391482,0.0036133,-0.000788684,0.000533262,-0.000954539,0.000553458,0.004828528,0.001989207,-0.003106316,-0.003907404,0.0018445,-0.000427403,-0.004188458,0.001466887,0.001226844,0.002316493,-0.00332587,0.00409588,0.002968599,-0.000429411,0.003842783,0.002600348,0.004861173,0.002639426,-0.000700265,-0.001644416,-0.00127086,0.000586657,0.004496181,0.004561457,0.001174457,-0.001059488,0.000744597,0.002101492,0.004437851,-0.000663708,-0.002837287,-0.003168724,0.003138506,-0.004459125,-0.00234486,-0.001285091,0.003337045,0.000435201,0.003681732,-0.004222537,-0.000108402,-0.004866286,-0.002258426,0.004125045,-0.004449097,-0.001917949,-0.001338807,0.004333699,-0.003927991,0.00122373,0.000216819,0.001029758
hill,0.001161395,-0.00245635,-0.000767411,0.00215769,0.002301003,0.002133835,0.004385563,0.002183486,0.004442615,0.000167005,-0.004817279,0.003329554,0.003485282,0.002848934,-0.004276848,0.004597753,0.002900147,0.002827905,-0.003773113,0.004466744,0.001692887,0.003368872,6.79E-06,0.004137,-0.002162147,-0.00128351,0.000895036,-0.00150925,0.000162687,0.002861084,0.004953849,0.004779602,0.001095593,0.00189097,0.000703189,0.000989455,-0.00396999,-0.004526911,-0.001358841,-0.001869924,-0.000694306,-0.004554106,0.003537263,-0.001831391,0.002026381,-0.002690093,0.002630483,-0.001819155,-0.00431818,-0.004797927,-0.004971371,-0.001024577,0.000224958,-0.00068475,-0.003037119,0.001123213,0.000641374,0.003253692,-0.001903423,-0.004900992,-0.004577086,-0.002780961,0.00192606,0.000174967,-0.001792669,0.001012451,0.001843204,-0.004650811,0.003717934,-0.003496009,0.004545535,0.002829783,-0.004116186,-0.004363791,0.000458222,0.004325855,-0.002483732,-0.002765043,0.004882523,-0.000100334,0.00129185,0.004738533,0.002107204,0.002581141,-0.001413937,-0.002949538,-0.00041395,0.00472246,0.004926083,-0.000775619,0.000800765,0.002606773,-0.004315802,-0.002494579,0.001460355,-0.000511914,-0.001289813,0.004879564,-0.004422269,-0.003111025
to,-3.67E-05,-0.003805744,-0.004770601,0.003188347,-0.002547693,-0.002935133,0.002141292,-0.00387213,0.001214106,-0.001769499,-0.003367383,-0.002678142,-0.001479357,0.00159203,0.00429566,-0.001555828,0.00205799,0.004176651,-0.004146735,0.004873424,-0.001352584,-0.003112691,-0.003991822,-0.004716812,0.001758631,0.000866294,0.000607767,-0.001502691,-0.002997276,-0.001975575,0.001665571,-0.000337278,0.004694603,0.000581057,-0.00471173,-0.00329029,0.004285454,-0.002206909,-0.003458807,-0.004999408,0.004415492,0.00234344,0.000418034,-0.004076063,0.002293595,0.004813247,0.003280595,-0.004209124,0.004806728,-0.002654522,0.004132831,0.000321495,-0.00182207,0.003594158,-0.000273979,-0.004814985,-0.002008805,-0.004626728,-0.003648964,0.003176381,0.000137978,-0.003460035,-0.004725601,-0.002533698,0.004162396,-0.001440409,-0.002692257,-0.002590974,0.000915694,0.003652552,-0.003697383,-0.002212187,-0.000612793,0.001831612,0.000593496,-0.002175309,-0.004635088,0.001562481,0.00308019,-0.004604714,0.001328306,-0.000951701,0.003790531,0.00457732,-0.000138067,-0.001732718,-0.003760693,0.001770605,-0.003517462,0.003560767,-0.000563001,-0.001702602,-0.000499992,-0.004081938,-0.003540982,0.001938788,0.001385462,0.00137315,0.00453295,-0.000542702
poorhouse,0.004891867,-0.0026346,0.000589125,0.002387669,-0.001858906,-0.003131083,-0.004804598,0.000761101,-0.004154713,-0.004343127,0.000364028,-0.004986279,-0.004939144,0.004260638,-0.004398767,-0.002638334,-0.002575193,-0.001914233,0.003173683,-0.004035596,-0.003869251,0.004867254,0.004619744,0.004103736,0.001636711,-0.004312157,0.004819295,0.004407556,0.001070741,-0.004400005,0.000193064,-0.000578781,0.004510956,-0.003021139,0.003923614,0.003261581,-0.000760145,0.000923776,-0.001009705,-0.000158137,0.004763782,0.003292491,0.000680597,0.001579498,0.002542371,-0.004185115,-0.00432332,-0.000724419,0.002628294,-0.001292462,0.003080514,-0.002175434,-0.003342088,-0.003717558,-0.00033143,-0.001336187,0.001676049,0.004398422,-0.000507666,-0.002573662,0.00254314,-0.004618271,-0.002109367,0.003812546,0.000572965,0.003927433,-0.004533535,0.00467239,0.000736026,-0.003731077,0.002034316,0.00406659,-0.004612004,4.73E-05,-0.002993552,-0.004339555,0.003573159,-0.004629321,0.000895851,-0.001669493,0.002286733,-0.003027344,-0.000716412,0.000260529,0.003112966,-0.001499222,-0.000988254,-0.004980954,0.004121142,-0.000897262,-0.000721041,-0.002381404,-0.002833205,-0.004999826,0.001749483,-0.001378975,0.004849838,-0.00196221,0.00091057,0.00328484
