,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
wedding,-0.002616747,0.003555795,-0.0016319323,-0.004709233,-0.002482087,0.0022785778,0.0004070904,-0.0013626197,-0.0037613504,0.0019198055,0.0028886283,0.0046439553,0.0033134115,0.001519365,0.0023497185,-0.0041450793,0.0037548381,0.0032794885,-0.0010049699,-0.00010281234,0.0005107275,7.19024e-05,0.0027440293,0.002087048,-0.0031233588,-0.0017592761,-0.0040075267,0.0035831311,0.002869791,-0.0025796844,-0.00031035393,-0.0002404805,0.0028471518,0.0024210778,-0.0015028678,-0.0017001751,-0.0040582167,0.0047842367,-0.0010137776,-0.0025045166,-0.0030857453,-0.003847997,0.0030294305,-0.000138849,-0.00046275023,-0.0011799062,-0.004774178,0.0043487414,0.0048620426,-0.0040707616,-0.00084319117,-0.0016737849,-0.0034022392,-0.001653527,0.001992051,0.0019527524,0.0014937915,-0.003619029,0.0023056462,-5.430019e-06,0.0010551191,-0.0020775937,-0.0026947665,0.0006425041,0.000290774,0.0010342452,-0.000118097836,-0.0035318055,-0.0028649077,-0.0026059595,0.003760467,-0.0009638648,-0.0029338417,-0.003227606,0.0037745836,0.0033050505,-0.004981423,0.004046455,-0.0018354818,-0.004722877,-0.0009653109,-0.002701432,0.0029138736,-0.0040663634,0.00062940724,-0.003489663,0.0008168687,0.003441397,-0.0037399807,0.00085991895,0.00026853365,0.0047871,-0.0013224041,-0.00090001617,0.0042380816,0.0046085264,-0.0023681242,-0.0022228328,0.0027020904,-0.004463237
family,0.0017276386,0.0022293415,-0.0049159117,0.0046107396,0.0029534886,0.0019968848,-0.003316013,0.0020549374,-0.00083819055,0.00046505453,0.00046283152,-0.003930842,0.004746688,1.6612512e-05,0.00023347886,-0.0031537083,0.004444288,-0.001311408,0.00044115385,0.003047724,0.0033116895,0.004647742,0.0011683872,0.0047442815,-0.002404162,0.00043937677,0.0048560333,0.0032211205,0.001359046,-0.0011375782,-0.0019078021,0.002452514,0.0049231625,-0.0044197473,0.0007706367,-0.00081094104,0.0016532372,-0.0013669877,-0.002620528,0.002360097,-0.0019792751,0.0026093172,-0.0025238667,0.00030493562,0.0036858504,0.0017446029,0.00064307544,-0.0027143713,0.0016074958,0.0040147193,-0.0033825778,0.0010719751,-0.0028529149,0.004627591,-0.0021656542,0.0022201831,-0.00092384376,0.00093133975,-0.0038003284,0.0031681072,0.005015981,-0.0028111872,-0.0019503197,0.0034174777,-0.0011791374,0.0030085885,-0.0013170261,0.0051890095,-0.0015703228,-0.0017121552,0.0050252513,0.0026974499,0.0024200233,0.0009793337,0.0024671708,0.004638183,7.527587e-05,-0.002253395,0.0037169035,0.0021714135,-0.003938016,0.002174353,-0.0019700113,-0.004923135,-0.0047775884,-0.0020037119,0.004719888,-0.0031738046,-0.0029415542,0.0029630933,0.004485912,-0.0040114773,-0.0013279434,0.0037096809,0.0034658278,-0.003778809,0.0032287221,-0.004449397,0.0006389505,0.004382242
relationships,2.1503927e-05,0.00066762767,-0.00025547648,-0.0020131748,-0.0011103317,8.4635416e-05,0.002365233,-0.002951119,-0.0010674691,0.0018633738,-0.0015345297,0.0024533207,0.004683074,0.0009176042,0.0047864406,-0.0034385032,0.000978819,0.00375594,-0.0004032977,0.00062380853,0.0009861324,0.0014607669,0.001530358,-0.0010960039,-0.0044075903,0.0022651711,0.0044476846,-0.002100584,-0.0003451317,-0.0024612288,-0.0031296883,-9.885906e-05,-0.0017126959,-0.0042480156,0.0041657016,-0.00175443,0.0036988705,-0.0040343865,0.0012806389,-0.0026263124,0.003991595,-0.004594639,-0.0038271984,-0.003740659,0.0011048163,0.00478414,0.0023412313,0.0043872823,0.004300431,0.0015779883,0.0011099916,-0.001049359,0.0003221444,0.0032440524,-0.002213459,0.0037475424,0.0007768227,-0.0030884638,0.0026834402,-0.0027422423,0.0025645338,-0.0008858158,0.0016291959,-0.0023369344,0.00085142005,-0.0040190266,0.0021105926,-0.0032642588,-0.0048330724,0.0035124714,0.0037815024,-0.00024144791,-0.004895414,-0.002955632,-0.0015609582,0.0008304064,-0.0042192987,0.0037703754,0.0016903637,-0.0025223556,-0.00187094,0.004579978,2.1380923e-05,-0.00143276,0.0039288816,0.00081221224,-0.0027108875,-0.00021542392,-0.0009165095,0.003545899,0.0009883917,0.002599647,-0.004204704,0.00090269244,0.000927016,0.0038229944,-0.00045821397,-0.0029907469,-0.0018142305,-0.004545156
gang,-0.0041787867,-0.0015346386,-0.00085030624,-0.0049940143,-0.0017907622,0.0024806808,0.0023130155,0.0045131915,-0.002735237,-0.0018397769,0.00025146228,0.0027769625,0.0014036227,-0.0014724656,0.004010889,0.002227874,-0.0028278974,-0.0010986127,0.004915195,0.0048423754,0.0041796975,-0.0037433822,-0.0014754118,-0.004026288,0.0035815698,-0.004681336,-0.0026184819,0.0015249335,0.004447094,0.0043551982,0.0038055202,0.0028946535,-3.9933573e-05,-6.269469e-05,0.00047083388,-0.0016661762,-0.0046266005,-0.0042045787,-0.0048393197,0.00039148764,-0.0015704123,-0.0022241306,0.0021419835,-0.0016760916,0.0016794365,-0.004006327,-0.0031992947,-0.0047570737,0.0015658351,-0.0030740383,-0.004142137,0.0026240507,-0.004001427,-0.0023283763,0.0017249961,0.0017857839,-0.003943296,3.946235e-05,-0.0023910566,-0.0020762014,-0.0047573275,0.0040062917,0.0008761827,0.004323652,0.0046063904,-0.00074563036,0.0031784452,0.0037984499,-0.0018590551,-0.0048301346,0.0013549307,-0.0051141926,0.0026349989,0.00069826446,0.004867716,0.0033333523,0.0012968074,-0.0025237086,-5.5203327e-05,-0.0031797048,-0.0030140271,-0.004832957,0.004728896,-0.0024839423,0.0006231077,-0.0024809868,0.00087221107,0.0050739576,0.00468477,-0.0013285896,-0.0037973819,-0.0027609358,-0.0019806833,-0.004565983,0.0016012855,0.0013355658,-0.00043326762,-0.0025982668,-0.005039898,-0.0003327225
thief,-0.0010135376,-0.0039278828,-0.0042099985,0.002390571,0.0018903271,0.00013214731,-0.0002115906,0.000807285,-0.002872468,0.0034569018,-0.002380481,-0.0009113791,-0.004458052,0.0013303959,0.0003036916,0.0042974427,-0.0019010773,0.0040338617,-0.002227499,0.0006474651,0.00040460078,-0.0017685774,0.0023812284,0.003523236,0.0027027547,-0.0015080444,0.0044259736,-0.0029193007,-0.0007901412,0.00060955016,0.0024335617,0.0040342873,-0.00071255997,-0.0021299988,0.0013689061,0.0022271108,-0.002240413,-0.00097592315,-0.0008152324,-0.0041112034,0.0038603747,-0.0036339452,0.0019977535,-0.003201789,0.0046246964,0.0024688637,0.0050101555,-0.003390202,-0.0024752165,0.004831583,-0.00504324,-0.0031667447,0.003366875,-0.0026623176,-0.0015789699,-0.004989338,0.00017626563,0.004643989,-0.00366873,0.00072484446,8.332683e-05,0.0038877418,0.004396568,-0.0038175127,0.0011678467,0.0026456206,-0.002518218,0.0012706855,-0.0009204225,-0.0009979773,-0.0015159671,0.0037182225,-0.0036710028,-0.0027646075,-0.0042923377,0.0031903586,-0.0045017772,-0.0030221313,0.0033426085,0.0014512519,-0.003636021,0.0011045432,-0.000971862,-0.0017561481,0.0037994122,-0.0017591807,-0.0014340371,0.0011447271,-0.0037755524,-0.00043576193,-0.0045976466,0.004566659,0.0017638061,0.004127274,0.0019859646,0.0038408276,-0.0030320864,-0.0039595584,1.043656e-05,0.0016433446
tree,-0.0039114165,0.0027020306,-0.004810108,-0.0008721175,-0.0001502338,0.0048839776,-0.003772378,0.0021439376,-0.0017900583,0.0039744442,0.004373511,0.0043555233,0.0013910884,-0.0014070818,-0.0020306148,0.0007393348,0.0023457657,0.004285035,0.003268285,-0.003508769,0.004406013,-0.0018562762,-0.0027330266,-0.004982236,0.00048184936,0.0006004164,-0.004838814,0.0004666119,-0.0011163976,-0.0005744899,-0.0036020868,0.002025942,0.00394191,-0.0013445915,0.0006054874,0.0025745553,-0.00025853544,0.00454688,0.004668302,-0.0038751215,0.004274303,0.00088973396,-0.0010182012,0.001100545,0.0038448875,-0.0047883177,0.0017765388,0.0026257166,-0.00034626314,0.0038917651,0.002301963,-0.004947357,-0.0005723264,0.0010933487,-0.0022267725,-0.0008984804,0.0014080034,-0.0012320454,0.0016326032,-0.0037493876,0.0008856146,0.004480565,0.0030935954,-0.0043234914,0.0048037306,0.004001126,-0.004334964,0.0046968986,0.0022901767,-0.0027012276,0.002629645,0.0045791008,-0.004979006,-0.0016416411,-0.00039644798,0.0014178748,0.00023230271,-0.000660643,-0.0033766704,-0.00252287,0.0043634167,0.0013845912,0.0010683826,-0.0009794884,-0.0006580158,-0.0019650685,0.0002981537,0.0008516217,-0.003856235,-0.0012782706,-0.005040045,0.00030625486,-0.0027233511,-0.0037766208,-0.0015357736,-0.0044370326,-0.0013422079,-0.00019694524,0.00056891685,0.0008688217
france,0.0005052944,-0.0015464963,-0.003073615,-0.0046133725,0.0048220893,-0.0022714562,0.0018198057,0.0035415993,0.00078216725,0.0038414204,0.003643564,0.001936001,0.003550138,0.0029716378,0.0007433431,0.0019452622,-0.0032995245,0.0015449818,0.001873498,-0.0011939629,0.00041021692,0.0048429198,0.004286936,0.0026442334,0.0029619096,0.0031682325,-0.0020893244,-0.0035582182,-0.0035533134,-0.001731998,-0.00056318607,-0.0035189842,-0.0037698494,-0.0047754473,0.000949271,0.0021556406,-0.0028334816,-0.0039811195,0.002108172,-0.0024853258,0.0019166411,-0.0026092504,-0.0043359534,-0.0038332962,-0.0032734715,-0.004355103,0.004750601,-0.00058652146,0.0048643374,0.0012817943,0.0030608797,0.004866006,0.0017097532,0.003122013,-0.0028162862,0.0035101352,0.0013922213,0.00298148,-0.0038129392,0.004865104,-0.00083486707,0.004466284,0.0009794413,-0.0010455658,-0.0021859345,-0.0029403449,0.0040480113,0.0012560932,-0.0008121039,0.003961408,0.00473532,-0.0011206338,-0.0022885783,0.0011254022,0.0037439198,0.0002952974,0.0031567009,-0.0009924681,0.0038849257,0.0047159838,-0.002602338,-0.0041398057,0.00450801,-0.0021999048,0.00489481,-0.0048539927,0.0021899051,-0.0038887137,0.0013365934,0.0026571339,0.0004396092,0.0024901747,0.00018157331,0.0026162977,-0.004605013,-0.0013163568,0.00014354786,0.0032294001,-0.0037493475,0.00409889
world,0.0021383408,0.0036936111,0.003446608,0.0017585676,-0.0034979663,0.003051496,0.0035720137,-0.0033958384,-0.0047364417,0.002085555,-0.0041543306,-0.0029531722,0.0045240102,0.00022038183,-0.0046693753,0.0008081701,-0.0029051572,0.00046907808,-0.002905721,0.00018991774,0.0016128332,-0.00026759927,0.004026313,0.00060652214,-0.0026087288,0.0019454597,-0.003538161,-0.0016269652,6.913797e-05,0.0016751183,0.004844164,-0.0021869694,-0.0048142094,0.001692511,-0.004853871,0.0038267144,-0.0028220084,-0.0012525913,0.002885306,0.00094084354,0.00036185235,0.0049002883,0.0042313216,0.00427414,-0.0011696614,-0.0005642437,-0.0005190152,0.0005813098,0.0026343148,0.0019300868,-0.0013343411,0.0047826017,-0.0025165598,-0.0038313917,0.0026666299,0.002617141,-0.0027722046,0.00033539004,-0.0044949367,-0.002749456,0.00062276877,-0.0011503801,0.00018345522,-0.0016801556,0.0016225405,0.0013776845,0.001494889,0.0026251297,-0.002348932,-0.002701099,0.0016891819,0.0022631148,-0.0028518508,-0.003381199,0.003809628,0.0013054197,0.0011013261,-0.0023144188,-0.00491241,-0.00470171,0.0041454295,0.003063073,0.004327552,0.002213669,-0.00068254286,-0.00015719618,-0.0043062093,0.0045627104,-0.0041862107,-0.0003147149,-0.0041230847,0.004815427,0.0037631153,0.0039569717,0.00013259616,-0.00165603,0.0042114775,-0.0023850352,0.00054205087,-0.0033745752
war,-0.0029074764,0.00450037,0.0028945985,0.00062465854,0.004218799,0.0019134794,-0.0032956868,0.0003833834,0.0017472832,-0.0031914576,0.004992569,0.0044448166,0.0026978895,-0.004001824,-0.0028974228,-0.0043536774,0.0038369645,-0.003102039,-0.0017811683,-0.0001989018,0.0024868746,0.0006126826,-0.0018216623,0.0039633466,-0.0031275852,0.0041111526,-0.0030320466,-0.00514509,0.00067459344,0.0004975207,-0.00091276295,0.0005545069,0.00088662206,-0.0018793526,0.0026097714,0.00015604415,-0.0017555014,-0.0004262208,-0.0012301094,-0.004571939,0.0018281981,-0.0009208834,-0.0036897578,-7.693116e-05,-0.001547212,-0.003159468,0.002308897,-0.00481877,-0.004099102,0.004377166,0.0016971653,-0.004684799,-0.0001461031,-0.0014704858,-0.003298667,-0.00015088648,0.0020173702,-0.0040874495,-0.0040037064,-0.0036125751,0.00063947093,0.0034026646,-0.0045446283,0.00096411887,-0.0028217128,-0.002558733,0.0050079846,-0.003900502,-0.004450363,0.0028640432,-0.0031428111,-0.0014821787,0.0016925302,-0.0010971343,0.0019590603,-0.0019397461,-0.0020648746,-0.0039708493,-0.001814605,-0.0023752307,0.0036899128,0.0025323199,0.0050021736,-6.581443e-05,0.00035486443,-0.00018830178,0.002897284,-0.0027701354,-0.00025211216,-0.0011584426,0.00015997393,0.00038527115,0.0016804117,0.0030442197,-0.003878195,-9.86933e-06,0.0038861847,0.00031725378,-0.0023823846,-0.0015023197
one,-0.0046735215,-0.0015013688,-0.004107988,-0.0022441756,0.00077906565,0.0040797447,-0.0037022806,-0.0020219455,-0.0014211884,0.004759078,8.500135e-05,-0.0012913763,0.00036422323,-0.0033468404,0.0030502144,0.00081638317,-0.003302956,0.0005273232,0.004054763,0.002158744,-0.004523903,-0.004652878,0.0020925018,0.0038765084,0.004830262,-0.004649786,-0.0040920684,0.0021618628,-0.0005115491,-0.0010444972,0.004906865,0.0023831802,-0.0019314033,-0.0029448569,0.00426906,0.004129124,-0.0013281088,-0.0038322033,0.0024383974,-0.0012064006,0.0013540037,0.0014890335,0.00019208509,-0.0001002264,0.0044809114,-0.0030541387,0.0021042111,0.004243902,0.002152098,0.002989856,-0.00076642714,-0.0041858517,9.4197334e-05,-0.00022082486,0.0047579897,0.0013755077,-0.0007606997,-0.0042926823,-0.0023725834,0.00010642236,-0.0047908276,-0.0018820266,0.0014212949,-0.0018978432,-0.0018348544,-0.0009098284,0.0048983498,-0.0011065749,0.0020189327,0.0024368826,0.003411187,0.0018106326,-0.0024191078,-0.0035611922,-0.0021572346,-0.002263771,0.0038580876,-0.0031499541,-0.0024534203,-0.00013402486,0.0015430037,0.002175483,0.001996896,-0.0026022748,0.00096887734,-0.00420606,0.0046133837,-0.0014820445,-0.0015788168,0.0015481632,-0.0050957086,0.004271322,-0.0028117718,-0.0019993081,8.0228434e-05,0.0019331542,-0.005166344,0.0033427335,-0.0003045456,-3.829267e-05
