plot_keywords
huguenot|intolerance|medicis|protestant|wedding
family relationships|gang|idler|poorhouse|thief
chewing gum|climbing a tree|france|translation problems|world war one
art deco|bible quote|dance|silent film|worker
escape|femme fatale|german expressionism|lust|violence
sibling rivalry|singer|sister act|whistling|wisecrack humor
bomb|bombing mission|munitions|oxford|royal flying corps
1910s|ambulance driver|italy|lake|nurse
chorus girl|chorus line|director|gala premiere|song
captain|marriage proposal|saloon|saloon singer|singer
bus|detective|love|money|reporter
dance|dancer|dancing|horse|tap dancing
actor director writer|invention|machine|music score composed by director|tramp
attack|fort|india|lancer|massacre
coronation|fictitious country|king|princess|swashbuckler
dwarf|love|princess|queen|snow white
band|dance|ragtime|singer|violinist
eccentric|friend|house|monopoly|stenographer
battle of the sexes|gallantry|honesty|indifference|scandal
evil witch|tornado|witch|wizard|wizard of oz
camp|corruption|governor|senate|u.s. senate
boy|conscience|fairy|jiminy cricket|pinocchio
apprentice|classical music|disney|mouse|orchestra
oil|oil field|oil tycoon|partnership|wildcatter
death|estate|housekeeper|love|monte carlo
1800s|bird|blue bird of happiness|foreign language adaptation|past
coal mine|girl|school|village|wales
american expatriate|casablanca morocco|gestapo|police|visa
animal|bambi|deer|forest|hunter
heaven|pilot|teacher|training|world war two
college|teacher|theatrical producer|tutu|wedding
fair|farm|iowa|newspaper|state fair
immigrant|maid|steel mill|strike|union
amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder
addiction|alcoholic|alcoholism|paranoia|suicidal thoughts
box office hit|half breed|infidelity|shooting|texas
angel|bank|guardian angel|second chance|small town life
love|pity|readjusting to civilian life|veteran|world war two veteran
engineer|ethics|mountain|railroad|south america
bigotry|jewish|prejudice|racism|writer
law partner|murder|partner|seaman|yacht
hoop|horseback riding|love|pirate|singer
cattle|cattle drive|cowboy|kansas|texas
anti semitism|gangster
captain|cavalry|fort|retirement|yellow ribbon
battle|combat|heroic military|sergeant|tarawa
girl|gun|love|sharpshooter|the end
christian|emperor|general|hostage|nero
gambling|interracial marriage|love|miscegenation|showboat
brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape
circus|clown|elephant trainer|trapeze|trapeze artist
actress|chorus girl|fan|friend|love
editor|gangster|newspaper|organized crime|press
appeasement|frontier justice|justice|one against many|street shootout
box office hit|crucifixion|nightmare|palestine|robe
boxing|captain|hawaii|love|sergeant
hitchcockian|husband murders wife|murder|niagara falls|overhead shot
arctic|beast|dinosaur|monster|rhedosaurus
captain|expedition|sea|submarine|whale
afterlife|egypt|pharaoh|princess|pyramid
death|dock|longshoreman|murder|union
16th century|battle|japan|practice|samurai
captain|expedition|sea|submarine|whale
artist|death|hunting|sheriff|vermont
august|doctor|faith|patriarch|prayer
obsession|revenge|ship|whale|whaling
acrobat|circus|cripple|trapeze|trapeze artist
army|civil war|robbery|soldier|train
allies|bridge|construction|jungle|sabotage
courtroom|dialogue driven|dialogue driven storyline|jury|murder
cancer|football|homosexuality|marriage|mississippi
king|pharaoh|queen|queen of sheba|tribe
belgium|congo|convent|nun|nurse
all girl band|band|cross dressing|musician|yacht
money|motel|rain|shower|theft
apartment|elevator|elevator girl|love|mistress
1920s|evangelist|preacher|revival|traveling salesman
dance|gang|new york city|puerto rican|tragedy
cowboy|divorce|horse|sexy|wild horse
judge|law|nazi|nuremberg|war crime
1930s|apple|dude|luck|new york city
drink|manager|money|partner|pool hall
lolita|nymphet|older man young girl relationship|professor|writer
arab|british military|desert|ottoman empire|t.e. lawrence
allies|d day|invasion|normandy|world war two
friend|funeral|outlaw|pistol|stagecoach
1930s|alabama|lawyer|six year old|trial
lolita|nymphet|older man young girl relationship|professor|writer
british secret service|hand to hand combat|murder|official james bond series|terrorist plot
brain|fiance|laboratory|surgeon|surgery
american soldier|naval uniform|navy|patrol boat|uniform
cleopatra|egypt|epic|queen|roman empire
ambassador|boxer rebellion|china|colonialism|peking china
california|desert|dying words|money|race
digging|escape|escape attempt|prisoner|tunnel
falling into water|medical doctor|priest|roof leak|swimming in the ocean
alcoholism|forename as title|rancher|rodeo cowboy|texas
assassin|british agent|british secret service|decoder|russian
18th century|rags to riches|secret letter|squire|tutor
2nd century|emperor|european history|loosely based on historical events|roman empire
colonel|flower girl|professor|street|wager
banker|female protagonist|live action and animation|magic|nanny
art|french|german|painting|train
bikini|covered in melted gold|fort knox|gold|pilot
bomber|doomsday|general|u.s. president|war room
boy|concert|drummer|manager|television
1960s|father|railroad|town|worker
balladeer|bar|drifter|mexican|revenge
acting|actor|face slap|fashion|magazine
connecticut|magic|marriage|witch|witchcraft
70mm film|biblical epic|faith|jewish|king herod
bolshevik|poet|poetry|russia|russian revolution
domino|fiery redhead|nassau|official james bond series|underwater battle
austria|children|governess|love|orchestral music score
apache|apache indian|confederate|mexico|scout
beatnik|businessman|necrophilia|party|partying
beach|money|on the run|party|smuggling
christmas|christmas tree|commercialism|meaning of christmas|tree
catholic|chancellor|divorce|king henry viii|thomas more
kidnapping|los angeles california|neo noir|private detective|ransom
defection|east germany|germany|iron curtain|scientist
based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin
black cat|catwoman|dc comics|penguin|riddler
civil war|hitman|outlaw|shootout|spaghetti western
faked death|japan|japanese|poison|secret headquarters
homoeroticism|kansas|murder|police|robbery
criminal|gangster|money|revenge|violence
count|drawn and quartered|tied up|torture chamber|torture device
